degree,hot_coffee,degree_dev,hot_coffee_dev,degree_hot_coffee_dev
14,150,-6.3,51.1,-321.9
22,73,1.7,-25.9,-44
27,33,6.7,-65.9,-441.5
16,152,-4.3,53.1,-228.3
19,106,-1.3,7.1,-9.2
15,172,-5.3,73.1,-387.4
17,85,-3.3,-13.9,45.9
17,116,-3.3,17.1,-56.4
16,127,-4.3,28.1,-120.8
9,135,-11.3,36.1,-407.9
20,65,-0.3,-33.9,10.2
21,57,0.7,-41.9,-29.3
29,88,8.7,-10.9,-94.8
34,32,13.7,-66.9,-916.5
11,172,-9.3,73.1,-679.8
23,81,2.7,-17.9,-48.3
24,116,3.7,17.1,63.3
26,56,5.7,-42.9,-244.5
25,47,4.7,-51.9,-243.9
21,115,0.7,16.1,11.3
